Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,674.500000,694.500000,674.000000,694.000000,652.316711,5496949
2016-04-29,687.500000,687.500000,669.500000,669.500000,629.288147,4964268
2016-05-03,667.000000,668.015991,635.500000,642.000000,603.439880,5568143
2016-05-04,640.500000,654.500000,637.000000,645.000000,606.259766,3848956
2016-05-05,621.000000,632.000000,602.000000,630.000000,592.160706,8796079
2016-05-06,629.000000,648.000000,623.877014,646.500000,607.669678,5167792
2016-05-09,652.500000,652.500000,636.606995,642.000000,603.439880,6919467
2016-05-10,645.500000,656.640015,644.500000,648.500000,609.549683,3908060
2016-05-11,649.500000,659.000000,646.500000,658.500000,618.948853,9235794
2016-05-12,654.000000,660.500000,641.500000,643.500000,604.849915,9187650
2016-05-13,642.500000,650.000000,636.182007,650.000000,610.959412,2123213
2016-05-16,647.000000,663.000000,644.000000,663.000000,623.178650,2438756
2016-05-17,669.500000,671.500000,661.500000,664.000000,624.118591,2836305
2016-05-18,660.500000,664.000000,646.000000,656.000000,616.599121,3433911
2016-05-19,650.500000,656.098022,633.500000,634.500000,596.390442,3997984
2016-05-20,639.500000,645.000000,634.500000,643.000000,604.379761,3336099
2016-05-23,642.000000,644.000000,633.000000,635.000000,596.860291,2911418
2016-05-24,633.500000,642.169983,630.330017,638.500000,600.150146,3104075
2016-05-25,642.500000,643.000000,620.000000,624.000000,586.521118,5502739
2016-05-26,623.500000,629.500000,612.500000,625.500000,587.930908,5938612
2016-05-27,625.000000,628.500000,613.000000,615.000000,578.061584,4012751
2016-05-31,616.500000,626.000000,613.000000,619.000000,581.821350,5893116
2016-06-01,616.000000,617.000000,593.000000,605.000000,568.662231,8692360
2016-06-02,604.500000,614.187012,604.374023,607.000000,570.542114,3548915
2016-06-03,609.000000,623.500000,600.000000,605.500000,569.132263,5097765
2016-06-06,604.500000,616.500000,604.150024,612.500000,575.711792,4056369
2016-06-07,615.000000,626.500000,604.000000,606.500000,570.072205,4185927
2016-06-08,603.500000,612.500000,602.200012,611.500000,574.771790,4450159
2016-06-09,602.500000,603.000000,588.000000,599.500000,563.492554,9310810
2016-06-10,594.000000,606.000000,592.000000,603.500000,567.252380,6746847
2016-06-13,596.500000,603.000000,595.314026,600.500000,564.432556,4908245
2016-06-14,594.500000,607.000000,594.500000,600.000000,563.962585,7240004
2016-06-15,604.000000,618.820007,601.000000,612.500000,575.711792,6365160
2016-06-16,604.000000,610.000000,598.000000,603.000000,566.782288,4404210
2016-06-17,606.000000,621.000000,601.000000,615.000000,578.061584,18269673
2016-06-20,628.500000,639.000000,617.500000,634.000000,595.920471,4259466
2016-06-21,634.000000,637.500000,626.500000,631.000000,593.100586,3934092
2016-06-22,633.000000,642.500000,623.000000,635.500000,597.330383,4347069
2016-06-23,639.000000,651.500000,634.000000,644.500000,605.789795,3500576
2016-06-24,614.000000,675.000000,606.000000,649.000000,610.019470,15614690
2016-06-27,636.000000,656.000000,636.000000,652.000000,612.839355,11903820
2016-06-28,660.000000,672.500000,647.747009,669.500000,629.288147,7896403
